HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459632.95661,2022-02-22.4569201,bs,1.49,14.980,14.491,0.140,5.801,0.740,g
2459632.95783,2022-02-22.4581437,bs,1.50,15.235,14.142,0.080,8.002,0.586,g
2459632.95906,2022-02-22.4593658,bs,1.64,15.489,14.392,0.080,6.359,0.464,g
2459634.03188,2022-02-23.5321384,bC,1.59,16.587,14.491,0.032,5.800,0.169,g
2459634.03314,2022-02-23.5334023,bC,1.53,16.590,14.428,0.030,6.153,0.169,g
2459634.03441,2022-02-23.5346674,bC,1.52,16.664,14.433,0.028,6.120,0.158,g
2459636.04500,2022-02-25.5451561,bC,1.56,16.846,14.484,0.025,5.838,0.133,g
2459636.04625,2022-02-25.5464064,bC,1.55,16.847,14.482,0.025,5.849,0.133,g
2459636.04755,2022-02-25.5477061,bC,1.57,16.873,14.496,0.024,5.776,0.130,g
2459638.11352,2022-02-27.6135765,bC,1.48,16.948,14.435,0.022,6.105,0.121,g
2459638.11479,2022-02-27.6148429,bC,1.49,16.931,14.465,0.022,5.941,0.123,g
2459638.11605,2022-02-27.6161038,bC,1.48,16.991,14.489,0.022,5.814,0.117,g
2459640.10221,2022-03-01.6021667,bC,1.46,16.953,14.465,0.022,5.947,0.121,g
2459640.10347,2022-03-01.6034297,bC,1.44,16.952,14.439,0.022,6.088,0.121,g
2459640.10474,2022-03-01.6046916,bC,1.42,16.959,14.471,0.022,5.911,0.120,g
2459643.06615,2022-03-04.5659560,bC,1.53,16.928,14.447,0.022,6.043,0.124,g
2459643.06741,2022-03-04.5672142,bC,1.51,16.921,14.445,0.022,6.051,0.124,g
2459643.06867,2022-03-04.5684726,bC,1.50,16.930,14.486,0.023,5.830,0.123,g
2459643.08498,2022-03-04.5847861,bC,1.50,16.945,14.478,0.022,5.874,0.122,g
2459643.08624,2022-03-04.5860487,bC,1.55,16.929,14.460,0.022,5.968,0.124,g
2459643.08751,2022-03-04.5873106,bC,1.50,16.939,14.466,0.022,5.938,0.123,g
2459644.99282,2022-03-06.4925298,bC,1.39,16.824,14.439,0.024,6.085,0.136,g
2459644.99408,2022-03-06.4937917,bC,1.43,16.852,14.424,0.023,6.175,0.133,g
2459644.99534,2022-03-06.4950524,bC,1.37,16.837,14.447,0.024,6.043,0.135,g
2459645.84745,2022-03-07.3471187,bs,1.62,16.845,14.471,0.024,5.912,0.134,g
2459645.84869,2022-03-07.3483574,bs,1.59,16.824,14.427,0.024,6.152,0.136,g
2459645.84993,2022-03-07.3495932,bs,1.59,16.831,14.412,0.023,6.244,0.136,g
2459646.93352,2022-03-08.4331303,bs,1.49,16.926,14.434,0.022,6.112,0.124,g
2459646.93476,2022-03-08.4343722,bs,1.46,16.947,14.459,0.022,5.980,0.122,g
2459646.93601,2022-03-08.4356211,bs,1.44,16.985,14.491,0.022,5.801,0.118,g
2459649.99444,2022-03-11.4939031,bC,1.44,16.801,14.474,0.026,5.895,0.139,g
2459649.99572,2022-03-11.4951788,bC,1.47,16.888,14.494,0.024,5.789,0.129,g
2459649.99698,2022-03-11.4964488,bC,1.50,16.843,14.461,0.024,5.966,0.134,g
2459651.99706,2022-03-13.4964241,bC,1.44,16.517,14.502,0.034,5.743,0.180,g
2459651.99831,2022-03-13.4976813,bC,1.45,16.596,14.456,0.030,5.992,0.168,g
2459651.99957,2022-03-13.4989303,bC,1.53,16.556,14.457,0.032,5.984,0.174,g
2459653.97243,2022-03-15.4716965,bC,1.45,16.077,14.762,0.065,4.519,0.270,g
2459653.97370,2022-03-15.4729631,bC,1.53,16.076,15.018,0.083,3.570,0.270,g
2459653.97496,2022-03-15.4742354,bC,1.53,16.096,14.786,0.066,4.421,0.265,g
2459655.96705,2022-03-17.4662283,bC,1.57,15.681,14.605,0.081,5.221,0.388,g
2459655.96956,2022-03-17.4687327,bC,1.51,15.753,14.396,0.063,6.334,0.364,g
2459656.00159,2022-03-17.5007629,bC,1.43,16.161,14.537,0.049,5.560,0.250,g
2459656.00285,2022-03-17.502025,bC,1.43,16.147,14.524,0.049,5.628,0.253,g
2459656.00410,2022-03-17.5032793,bC,1.43,16.235,14.391,0.040,6.363,0.233,g
2459656.04381,2022-03-17.5429805,bC,1.39,16.314,14.502,0.041,5.748,0.217,g
2459656.04506,2022-03-17.5442353,bC,1.44,16.199,14.453,0.044,6.012,0.242,g
