MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126109011088,16.197,0.069,335.99562,25.74042,55857.23443,0
1126109011088,16.477,0.072,335.99571,25.74036,55868.07349,0
1126109011088,16.355,0.071,335.99576,25.74039,55868.07974,0
1126109011088,16.265,0.069,335.99568,25.74046,55868.08596,0
1126109011088,16.250,0.069,335.99568,25.74040,55868.09216,0
1126109011088,16.140,0.068,335.99572,25.74047,55894.06230,0
1126109011088,16.154,0.068,335.99569,25.74046,55894.06573,0
1126109011088,16.172,0.068,335.99574,25.74042,55894.06922,0
1126109011088,16.175,0.069,335.99563,25.74041,55894.07262,0
1126109011088,16.177,0.069,335.99569,25.74039,55925.07210,0
1126109011088,16.117,0.068,335.99564,25.74046,55925.07776,0
1126109011088,16.180,0.069,335.99572,25.74041,55925.08336,0
1126109011088,16.089,0.068,335.99565,25.74051,55925.08912,0
1126109011088,16.262,0.070,335.99584,25.74042,56060.44600,0
1126109011088,16.245,0.069,335.99579,25.74045,56060.45340,0
1126109011088,16.289,0.070,335.99573,25.74038,56060.46022,0
1126109011088,16.265,0.069,335.99578,25.74041,56060.46745,0
1126109011088,16.244,0.070,335.99574,25.74045,56094.35869,0
1126109011088,16.247,0.070,335.99578,25.74040,56094.36720,0
1126109011088,16.306,0.070,335.99577,25.74036,56094.37576,0
1126109011088,16.263,0.070,335.99576,25.74039,56094.38425,0
1126109011088,16.205,0.071,335.99572,25.74042,56100.33007,0
1126109011088,16.150,0.070,335.99573,25.74045,56100.33801,0
1126109011088,16.187,0.070,335.99579,25.74035,56100.34600,0
1126109011088,16.178,0.070,335.99577,25.74043,56100.35398,0
1126109011088,16.202,0.069,335.99569,25.74049,56188.26368,0
1126109011088,16.201,0.069,335.99568,25.74047,56188.26756,0
1126109011088,16.189,0.069,335.99567,25.74043,56188.27151,0
1126109011088,16.183,0.069,335.99570,25.74045,56188.27544,0
1126109011088,16.232,0.070,335.99584,25.74040,56208.07940,0
1126109011088,16.180,0.069,335.99578,25.74038,56208.08552,0
1126109011088,16.225,0.070,335.99573,25.74040,56208.08953,0
1126109011088,16.166,0.069,335.99573,25.74049,56208.09357,0
1126109011088,16.219,0.079,335.99571,25.74041,56218.14788,0
1126109011088,16.217,0.080,335.99580,25.74043,56218.15066,0
1126109011088,16.162,0.079,335.99564,25.74045,56218.15351,0
1126109011088,16.192,0.078,335.99576,25.74039,56218.15634,0
1126109011088,16.197,0.070,335.99557,25.74047,56309.10693,0
1126109011088,16.149,0.069,335.99556,25.74046,56309.11258,0
1126109011088,16.195,0.070,335.99566,25.74036,56309.11822,0
1126109011088,16.166,0.070,335.99567,25.74045,56309.12381,0
1126109011088,16.188,0.070,335.99576,25.74047,56448.38753,0
1126109011088,16.181,0.070,335.99581,25.74041,56448.39384,0
1126109011088,16.186,0.070,335.99570,25.74040,56448.40014,0
1126109011088,16.179,0.070,335.99577,25.74042,56448.40641,0
1126109011088,16.158,0.072,335.99578,25.74040,56456.36313,0
1126109011088,16.141,0.072,335.99572,25.74042,56456.36768,0
1126109011088,16.143,0.072,335.99578,25.74039,56456.37219,0
